frameIdx,timeStart,Event,teamIn,x (length)m,y (width)
60070,0:40:03,Halftime,L,35.36222457885742,35.07651901245117
60180,0:40:07,Scrum,L2,44.7584228515625,39.112571716308594
60270,0:40:11,Scrum,R2,30.582191467285156,46.132869720458984
60360,0:40:14,KickRestart,L2,26.9400577545166,24.534318923950195
60500,0:40:20,KickRestart,R2,31.686145782470703,44.396053314208984
60570,0:40:23,Scrum,R2,46.816341400146484,62.32500076293945
60665,0:40:27,KickRestart,L2,32.413753509521484,15.246761322021484
60720,0:40:29,Scrum,L2,30.204557418823242,22.097288131713867
60815,0:40:33,Scrum,L2,33.29914855957031,27.238908767700195
60915,0:40:37,KickRestart,L2,31.758197784423828,20.024229049682617
60975,0:40:39,Scrum,L2,41.20596694946289,25.759933471679688
61030,0:40:41,KickRestart,R2,9.342255592346191,38.07359313964844
61220,0:40:49,Scrum,L2,35.94324493408203,60.9706916809082
61685,0:41:07,KickRestart,R2,4.122779846191406,22.45673179626465
61800,0:41:12,Turnover,R2,40.245765686035156,30.489917755126953
61960,0:41:18,KickRestart,R2,94.71113586425781,34.78257751464844
62025,0:41:21,Scrum,R2,108.64520263671875,35.25798034667969
62210,0:41:28,KickRestart,L2,132.10923767089844,24.598705291748047
62730,0:41:49,KickRestart,L2,89.60704803466797,66.63992309570312
62780,0:41:51,Scrum,L2,126.73688507080078,29.283357620239258
62830,0:41:53,Scrum,L2,105.78334045410156,47.197628021240234
62885,0:41:55,Scrum,L2,112.62776184082031,41.33408737182617
62935,0:41:57,Scrum,L2,112.24515533447266,40.70082092285156
62985,0:41:59,Scrum,L2,122.16737365722656,33.204200744628906
63040,0:42:02,Scrum,L2,119.36998748779297,44.627601623535156
63145,0:42:06,Scrum,L2,107.50733184814453,45.657432556152344
63235,0:42:09,KickRestart,R2,119.11834716796875,35.82904052734375
63330,0:42:13,KickRestart,L2,124.88764953613281,4.777259826660156
63420,0:42:17,KickRestart,R2,130.68704223632812,12.803720474243164
63500,0:42:20,KickRestart,R2,140.1830596923828,1.473069190979004
63805,0:42:32,KickRestart,R2,123.82491302490234,2.547499895095825
63885,0:42:35,KickRestart,R2,107.38152313232422,23.125085830688477
63955,0:42:38,Lineout,L2,113.86991882324219,39.0809211730957
64060,0:42:42,KickRestart,R2,105.32876586914062,2.615661382675171
64205,0:42:48,KickRestart,R2,124.2779769897461,41.462493896484375
64305,0:42:52,KickRestart,R2,105.29105377197266,2.3796300888061523
64715,0:43:09,KickRestart,R2,110.7442398071289,16.172231674194336
64895,0:43:16,KickRestart,L2,111.26526641845703,15.832169532775879
65315,0:43:33,KickRestart,R2,122.0125503540039,54.38706588745117
65375,0:43:35,Scrum,R2,119.34243774414062,53.399513244628906
65425,0:43:37,Scrum,R2,122.85623168945312,48.52015686035156
65480,0:43:39,KickRestart,L2,100.2547836303711,62.109012603759766
65540,0:43:42,Scrum,R2,105.53805541992188,65.1308364868164
65770,0:43:51,Scrum,L2,101.8895034790039,48.281253814697266
65980,0:43:59,CollectKick,R2,52.6991081237793,43.763916015625
66110,0:44:04,KickRestart,R2,54.299072265625,49.22462463378906
66190,0:44:08,KickRestart,R2,31.145734786987305,18.48410415649414
66900,0:44:36,KickRestart,R2,45.36270523071289,56.620758056640625
67030,0:44:41,KickRestart,R2,90.89895629882812,23.012317657470703
67135,0:44:45,KickRestart,L2,104.22332000732422,19.57220458984375
