frameIdx,timeStart,Event,teamIn,x (length)m,y (width)
67635,0:45:05,KickRestart,R2,16.196975708007812,23.982938766479492
67800,0:45:12,KickRestart,R2,72.82704162597656,3.07791805267334
67855,0:45:14,Lineout,R2,34.057525634765625,2.746183395385742
67970,0:45:19,KickRestart,R2,50.43232345581055,32.04106903076172
68350,0:45:34,KickRestart,R2,116.00090789794922,6.954765796661377
68710,0:45:48,KickRestart,R2,30.555269241333008,19.72960090637207
68775,0:45:51,Scrum,R2,24.730817794799805,3.6039719581604004
68855,0:45:54,CollectKick,R2,39.56045150756836,5.117527008056641
68915,0:45:57,Scrum,R2,39.28044509887695,3.991626501083374
69035,0:46:01,KickRestart,R2,51.182796478271484,39.994110107421875
69085,0:46:03,Scrum,R2,30.715959548950195,21.035451889038086
69155,0:46:06,Scrum,R2,52.16676330566406,39.546836853027344
69325,0:46:13,Scrum,R2,22.953638076782227,27.586774826049805
69390,0:46:16,Scrum,R2,45.942928314208984,8.934675216674805
69495,0:46:20,KickRestart,R2,87.74303436279297,24.556507110595703
69545,0:46:22,Scrum,R2,98.52294158935547,33.102821350097656
69705,0:46:28,Scrum,R2,83.66033935546875,51.419864654541016
69770,0:46:31,KickRestart,R2,91.96341705322266,33.35523986816406
69855,0:46:34,KickRestart,R2,77.23880767822266,52.948055267333984
70205,0:46:48,Scrum,R2,78.46751403808594,69.7130355834961
70390,0:46:56,KickRestart,R2,87.15934753417969,37.55124282836914
70850,0:47:14,KickRestart,R2,122.15240478515625,24.679983139038086
70930,0:47:17,KickRestart,R2,70.68282318115234,11.285213470458984
71010,0:47:20,Lineout,R2,66.88896179199219,22.469388961791992
71135,0:47:25,KickRestart,R2,37.39549255371094,23.927635192871094
71210,0:47:28,KickRestart,L2,67.09436798095703,43.100704193115234
71290,0:47:32,KickRestart,R2,50.149200439453125,10.982161521911621
71360,0:47:34,Scrum,R2,18.700048446655273,33.82448959350586
71430,0:47:37,Scrum,R2,30.256393432617188,0.8010578751564026
71505,0:47:40,Scrum,R2,67.48310852050781,24.324668884277344
71590,0:47:44,KickRestart,R2,106.17097473144531,7.817142963409424
71680,0:47:47,KickRestart,L2,85.39100646972656,18.366867065429688
71815,0:47:53,KickRestart,R2,82.01235961914062,17.21051788330078
71895,0:47:56,KickRestart,R2,78.38939666748047,43.79084777832031
72010,0:48:00,KickRestart,R2,91.39344787597656,10.255958557128906
72070,0:48:03,CollectKick,R2,70.38630676269531,5.235988140106201
72170,0:48:07,Scrum,R2,79.15876007080078,29.987470626831055
72375,0:48:15,KickRestart,R2,76.12507629394531,25.3316707611084
72455,0:48:18,KickRestart,R2,73.57127380371094,32.990638732910156
72615,0:48:25,KickRestart,R2,72.97950744628906,21.996627807617188
72690,0:48:28,KickRestart,L2,73.71170043945312,18.940963745117188
72800,0:48:32,KickRestart,R2,69.50348663330078,47.88689041137695
72865,0:48:35,Scrum,R2,71.99880981445312,48.536827087402344
72930,0:48:37,Scrum,R2,67.10409545898438,48.048988342285156
73060,0:48:42,KickRestart,R2,77.81481170654297,46.34696960449219
73175,0:48:47,Scrum,R2,73.43885040283203,24.353649139404297
73245,0:48:50,Scrum,R2,69.68780517578125,32.651817321777344
73360,0:48:54,KickRestart,R2,80.48283386230469,7.220570087432861
73535,0:49:01,KickRestart,R2,65.9319839477539,16.84621238708496
73620,0:49:05,KickRestart,R2,79.53573608398438,4.825745105743408
73705,0:49:08,KickRestart,R2,73.52372741699219,33.240684509277344
73780,0:49:11,KickRestart,R2,70.20352172851562,20.377195358276367
73905,0:49:16,KickRestart,R2,68.59347534179688,48.388710021972656
73980,0:49:19,KickRestart,L2,72.24246215820312,13.439047813415527
74215,0:49:29,KickRestart,R2,74.71630859375,23.363679885864258
74305,0:49:32,KickRestart,R2,76.02391815185547,35.914947509765625
74380,0:49:35,KickRestart,L2,73.2440414428711,35.068206787109375
74430,0:49:37,Scrum,R2,71.60415649414062,44.937782287597656
74705,0:49:48,KickRestart,R2,67.28023529052734,25.221088409423828
