frame,x,y,dx,dy,team
230,67.405791015625,35.69998046875,0.0,0.0,1
190,60.81197265625,33.14323974609375,0.0,0.0,2
210,61.8393359375,46.0479052734375,1.027363281250004,12.904665527343752,2
190,64.797001953125,46.4518408203125,0.0,0.0,1
230,60.6331884765625,25.20973876953125,0.0,0.0,2
70,61.922294921875,28.338466796875,0.0,0.0,1
100,63.479208984375,20.70605224609375,1.5569140624999989,-7.632414550781249,1
110,62.92146484375,16.42973388671875,-0.5577441406249974,-4.276318359375001,1
120,62.780546875,17.45981201171875,-0.14091796875000284,1.0300781249999993,1
140,62.32918945312501,15.68476318359375,-0.45135742187498806,-1.7750488281249996,1
140,60.8548681640625,18.64997192382813,0.0,0.0,1
70,64.138369140625,24.78025390625,0.0,0.0,2
80,63.697109375,23.130576171875,0.0,0.0,1
80,62.4433984375,18.492406005859376,0.0,0.0,1
100,63.8865380859375,15.10661376953125,1.4431396484375014,-3.3857922363281254,1
160,63.847939453125,15.938846435546877,-0.03859863281250142,0.8322326660156261,1
170,63.931210937500005,15.804061279296876,0.08327148437500398,-0.13478515625000043,1
140,62.12419921875,25.488486328125,0.0,0.0,1
150,61.805205078125,23.22404296875,-0.3189941406250014,-2.264443359375001,1
160,61.5039501953125,22.4341162109375,-0.30125488281250057,-0.7899267578124984,1
170,61.326513671875,23.03847900390625,-0.17743652343749972,0.6043627929687503,1
60,62.674985351562505,37.7991796875,0.0,0.0,1
70,62.96166015625,35.299462890625,0.2866748046874932,-2.499716796874999,1
80,63.149970703125,34.130615234375,0.1883105468750017,-1.1688476562500014,1
90,63.57921875,33.54198974609375,0.42924804687500284,-0.5886254882812523,1
100,63.9202392578125,32.30473388671875,0.3410205078124946,-1.2372558593749972,1
110,63.84474609375,33.53463134765625,-0.07549316406250028,1.2298974609375009,1
120,63.656132812500005,34.89486083984375,-0.18861328124999233,1.3602294921875,1
130,63.465322265625,35.39361083984375,-0.19081054687500654,0.49875000000000114,1
140,63.5675732421875,34.9566943359375,0.1022509765625017,-0.4369165039062537,1
150,63.43716796875,34.65977783203125,-0.1304052734374963,-0.296916503906246,1
160,63.1737890625,34.0811376953125,-0.26337890625000426,-0.5786401367187537,1
170,62.925351562500005,33.3790380859375,-0.24843749999999432,-0.7020996093749972,1
60,66.270380859375,57.209658203125,0.0,0.0,1
80,67.0129296875,54.35064453125,0.7425488281250097,-2.8590136718750045,1
70,58.5675830078125,20.396451416015623,0.0,0.0,2
60,61.7432666015625,29.3531787109375,0.0,0.0,1
110,63.3129736328125,15.6337451171875,1.5697070312499974,-13.719433593749999,1
140,63.1420361328125,16.89205810546875,-0.17093750000000085,1.258312988281249,1
150,63.30173828125,15.8426171875,0.1597021484375034,-1.0494409179687487,1
170,62.920244140625,16.8350830078125,-0.3814941406250014,0.9924658203124999,1
90,60.8268017578125,27.70248291015625,0.0,0.0,2
70,56.87150390625,17.03349609375,0.0,0.0,1
70,62.112529296875,35.5685498046875,0.0,0.0,1
70,62.9185107421875,43.9202001953125,0.0,0.0,1
70,56.0365625,28.57422607421875,0.0,0.0,2
170,58.3437353515625,18.468443603515624,2.3071728515624983,-10.105782470703126,2
70,61.0654443359375,36.0690380859375,0.0,0.0,1
140,61.997939453125,28.46309814453125,0.9324951171875,-7.605939941406248,1
150,61.9719189453125,28.7181591796875,-0.026020507812496874,0.255061035156249,1
160,61.74587890625,28.46586669921875,-0.2260400390625037,-0.25229248046874986,1
70,57.78369140625,36.81064453125,0.0,0.0,1
70,60.66048828125,2.3073388671875,0.0,0.0,2
80,62.1158203125,28.07209716796875,0.0,0.0,1
80,59.6960986328125,19.206591796875,0.0,0.0,2
80,60.3316552734375,2.0900010681152343,0.0,0.0,1
90,63.5668896484375,44.1670458984375,0.0,0.0,1
100,64.0134375,43.62375,0.4465478515624923,-0.5432958984374991,1
110,64.138798828125,45.486708984375,0.12536132812500966,1.8629589843749983,1
120,64.176103515625,46.9170556640625,0.03730468749999716,1.4303466796875028,1
130,64.36587890625,47.911787109375,0.1897753906250017,0.994731445312496,1
140,64.8418701171875,48.58791015625,0.47599121093749375,0.6761230468749986,1
150,64.946025390625,48.579169921875,0.10415527343749886,-0.008740234374997158,1
160,64.8958203125,48.6133837890625,-0.0502050781249892,0.03421386718750341,1
170,64.6103564453125,48.3243115234375,-0.2854638671875023,-0.289072265625002,1
110,61.4219287109375,13.807928466796875,0.0,0.0,2
90,62.3802880859375,26.56379150390625,0.0,0.0,1
100,62.7993310546875,20.84751220703125,0.4190429687499986,-5.716279296874998,1
90,58.3403173828125,29.559755859375,0.0,0.0,2
90,58.00990234375,33.520048828125,0.0,0.0,1
90,61.329892578125,12.287515869140623,0.0,0.0,1
100,64.46091796875,25.54576904296875,0.0,0.0,2
130,64.7177197265625,26.3312841796875,0.2568017578125108,0.7855151367187503,2
100,60.8496728515625,35.8932568359375,0.0,0.0,1
100,58.5991552734375,31.72011962890625,0.0,0.0,1
100,62.742314453125005,25.29583740234375,0.0,0.0,1
120,62.4149951171875,22.47164306640625,-0.32731933593750284,-2.8241943359374986,1
150,62.4619482421875,22.92068603515625,0.046953125000001705,0.4490429687499997,1
160,62.510439453125,24.62727783203125,0.04849121093749886,1.7065917968749993,1
170,62.2930322265625,23.8283642578125,-0.2174072265625,-0.7989135742187514,1
100,60.32498046875,11.9573779296875,0.0,0.0,2
110,48.290913085937504,3.868973388671875,0.0,0.0,2
110,62.4731689453125,26.95005859375,0.0,0.0,2
120,62.5529248046875,27.73758056640625,0.0797558593749983,0.7875219726562506,2
130,62.519775390625,26.59042236328125,-0.033149414062499716,-1.1471582031250023,2
120,60.0189208984375,15.342445068359376,0.0,0.0,1
130,60.27564453125,15.73736572265625,0.256723632812502,0.3949206542968735,1
140,60.19072265625,15.662545166015626,-0.08492187499999915,-0.07482055664062415,1
120,61.878447265625,34.98789794921875,0.0,0.0,1
130,61.5785791015625,35.7274560546875,-0.2998681640625023,0.7395581054687526,1
140,61.899462890625,36.32188720703125,0.32088378906250625,0.594431152343752,1
150,61.9123095703125,36.09402587890625,0.012846679687498863,-0.2278613281250017,1
160,61.91474609375,36.07057373046875,0.0024365234374954525,-0.02345214843749943,1
170,61.683110351562505,35.6178076171875,-0.2316357421874926,-0.4527661132812497,1
120,56.995498046875,38.091962890625,0.0,0.0,1
130,61.752163085937504,28.42335205078125,0.0,0.0,1
140,57.14732421875,33.02748046875,0.0,0.0,2
140,60.955986328125,12.2223681640625,0.0,0.0,2
140,56.93583984375,25.04326416015625,0.0,0.0,2
140,62.8995556640625,25.90342041015625,0.0,0.0,2
150,63.25350585937501,26.5345751953125,0.3539501953125139,0.631154785156248,2
160,63.314287109375,25.820600585937505,0.060781249999990905,-0.7139746093749935,2
170,63.659951171875,26.235883789062505,0.34566406249999915,0.415283203125,2
160,59.0692919921875,18.65795776367188,0.0,0.0,2
160,55.835869140625,38.37046875,0.0,0.0,2
170,78.1743115234375,15.175943603515623,0.0,0.0,1
170,73.105546875,6.998023071289063,0.0,0.0,2
180,67.1639306640625,46.972099609375,0.0,0.0,2
190,62.2040478515625,25.66488037109375,0.0,0.0,2
190,53.8940673828125,31.0631689453125,0.0,0.0,2
200,54.33540039062501,35.22665283203125,0.44133300781250995,4.163483886718748,1
210,53.8094970703125,36.01701416015625,-0.5259033203125085,0.7903613281250017,1
200,63.4770654296875,46.00658203125,0.0,0.0,1
220,63.3684912109375,44.46029296875,-0.10857421875000028,-1.5462890625000014,1
200,63.7179150390625,28.2510498046875,0.0,0.0,1
200,55.932275390625,51.1386962890625,0.0,0.0,1
200,61.2656640625,52.41880859375,0.0,0.0,2
220,60.8208203125,52.3120361328125,-0.444843750000004,-0.10677246093749915,2
220,65.43961425781251,26.81987548828125,0.0,0.0,1
220,65.7059912109375,33.214443359375004,0.0,0.0,1
230,65.480478515625,42.4791943359375,-0.22551269531250284,9.264750976562496,2
220,55.0874267578125,35.5048681640625,0.0,0.0,1
220,82.27749023437501,10.274288330078123,0.0,0.0,2
230,61.332802734375,52.434921875,0.0,0.0,2
230,57.145791015625,34.09472900390625,0.0,0.0,1
