frame,x,y,dx,dy,team
80,72.29357421875,55.8329345703125,0.0,0.0,1
130,72.73263671875,54.6138037109375,0.4390625000000057,-1.2191308593749994,1
90,65.563046875,52.5562158203125,0.0,0.0,1
110,64.59974609375,52.49653320312501,-0.9633007812499983,-0.059682617187490905,1
120,64.7368359375,54.423837890625,0.13708984375000455,1.9273046874999906,1
130,65.3670703125,58.3273486328125,0.6302343750000006,3.9035107421874997,1
180,64.970615234375,53.978032226562505,-0.39645507812500114,-4.349316406249997,1
190,65.9270263671875,59.482841796875,0.9564111328124909,5.504809570312496,1
200,65.12369140625,57.9808642578125,-0.8033349609374909,-1.5019775390625014,1
220,63.8772119140625,49.2105712890625,-1.246479492187504,-8.770292968749999,1
270,65.060205078125,57.7740771484375,1.1829931640624949,8.563505859374999,1
310,63.795620117187504,47.355380859375,-1.2645849609374906,-10.418696289062495,1
330,64.8081689453125,46.1718701171875,1.0125488281249986,-1.1835107421875009,1
400,83.707392578125,22.13275146484375,0.0,0.0,1
410,82.105361328125,27.21705322265625,-1.602031249999996,5.084301757812501,1
420,83.00388671875,24.26908447265625,0.8985253906249966,-2.947968750000001,1
430,83.18953125,22.877607421875,0.18564453125000568,-1.3914770507812513,1
440,83.87435546875,23.292998046875,0.6848242187499949,0.41539062500000057,1
30,67.2698095703125,48.3544482421875,0.0,0.0,1
40,66.981982421875,49.085009765625,-0.28782714843750057,0.7305615234375011,1
70,66.6992041015625,48.969453125,-0.2827783203125023,-0.1155566406250017,1
190,67.4470849609375,48.5790087890625,0.7478808593750017,-0.3904443359375023,1
200,66.6315185546875,51.7355126953125,-0.8155664062499994,3.156503906250002,1
210,66.2175244140625,46.5997314453125,-0.4139941406250074,-5.135781250000001,1
220,66.375986328125,42.7499560546875,0.15846191406249943,-3.8497753906249983,1
230,66.8817041015625,40.3562255859375,0.5057177734375102,-2.3937304687500003,1
240,67.1954541015625,39.83304931640625,0.31374999999999886,-0.5231762695312483,1
250,66.0788134765625,43.8952099609375,-1.1166406250000023,4.062160644531247,1
260,64.62796875000001,41.9614306640625,-1.4508447265624937,-1.9337792968750023,1
320,64.356943359375,41.8283935546875,-0.2710253906250131,-0.13303710937499602,1
390,85.04181640625,19.73661987304688,0.0,0.0,1
400,84.04875,20.55820556640625,-0.9930664062500085,0.8215856933593706,1
130,60.1663916015625,60.5013330078125,0.0,0.0,2
140,60.4971826171875,63.0619384765625,0.330791015624996,2.560605468750005,2
230,60.7979345703125,63.0303076171875,0.30075195312500114,-0.03163085937499943,2
250,60.724765625,61.9296435546875,-0.07316894531249574,-1.1006640625000017,2
300,59.5222412109375,56.2993994140625,-1.202524414062502,-5.630244140625003,2
390,77.67253906250001,23.28704833984375,0.0,0.0,2
60,72.1682177734375,42.9417236328125,0.0,0.0,1
110,73.0597900390625,46.652255859375,0.8915722656250011,3.7105322265625063,1
120,73.4342529296875,46.064931640625,0.37446289062499716,-0.5873242187500054,1
160,73.3131982421875,43.640166015625,-0.12105468750000625,-2.424765624999999,1
110,57.3084326171875,50.3816455078125,0.0,0.0,1
190,54.2478466796875,42.968779296875,-3.060585937500001,-7.412866210937501,1
